iter	Logloss
0	0.6557812687
1	0.6208512623
2	0.5885521912
3	0.5594366384
4	0.5324250501
5	0.5088811869
6	0.4840809943
7	0.465913709
8	0.4333486235
9	0.4153051544
10	0.3989423492
11	0.3850697575
12	0.374145948
13	0.3626541507
14	0.3514651
15	0.3404798603
16	0.3231370542
17	0.3150740589
18	0.3074232706
19	0.300768379
20	0.2883260815
21	0.2820712878
22	0.2769367156
23	0.2715464717
24	0.2643041492
25	0.2592571844
26	0.2547694004
27	0.2518913622
28	0.2490983422
29	0.2453750527
30	0.2387408082
31	0.2328290497
32	0.2291199806
33	0.2272007345
34	0.2248229282
35	0.2198517201
36	0.2182334115
37	0.2159177733
38	0.2134522972
39	0.2116148399
40	0.2098010165
41	0.2085088532
42	0.2068652504
43	0.2050937221
44	0.203349198
45	0.1991626496
46	0.1972177573
47	0.1959723821
48	0.1927091546
49	0.191082548
50	0.1897626754
51	0.1889167187
52	0.1879358839
53	0.1863662339
54	0.1848741309
55	0.1839468471
56	0.1830385101
57	0.1817521255
58	0.1795229271
59	0.1786337916
60	0.1765831015
61	0.1757577703
62	0.1746311615
63	0.1725692446
64	0.1700205932
65	0.1689676583
66	0.1681637343
67	0.1667505012
68	0.1658605502
69	0.164910122
70	0.1642891507
71	0.1634523329
72	0.1628367744
73	0.1620224749
74	0.1613284592
75	0.1601000472
76	0.1594690407
77	0.1586450435
78	0.1573579667
79	0.1567182909
80	0.1560313488
81	0.1541434356
82	0.1532102139
83	0.1521380897
84	0.1513367242
85	0.1500810763
86	0.1491392641
87	0.1486820532
88	0.1476316886
89	0.1472173413
90	0.1466826216
91	0.1457047219
92	0.1451698176
93	0.144498867
94	0.1440821868
95	0.1434937836
96	0.142809751
97	0.1424675435
98	0.1418757659
99	0.1413467646
100	0.1408066938
101	0.1400122775
102	0.1396459452
103	0.1391511195
104	0.1385917467
105	0.1382961752
106	0.1372698709
107	0.1364615593
108	0.1358440937
109	0.1352080637
110	0.1345798417
111	0.1340550598
112	0.1334727658
113	0.1330943202
114	0.1323431401
115	0.1315237753
116	0.1311705977
117	0.1304125292
118	0.1297945919
119	0.1294399685
120	0.1289771496
121	0.1284305842
122	0.1281024533
123	0.1277781179
124	0.1273575557
125	0.1270126959
126	0.1267222506
127	0.1264493297
128	0.1259648828
129	0.1254610402
130	0.1252478636
131	0.1249193089
132	0.1245525763
133	0.1238639088
134	0.1233040851
135	0.1230823212
136	0.1228822863
137	0.1224199691
138	0.1220587616
139	0.1216747842
140	0.1214243676
141	0.1211096674
142	0.1208996231
143	0.1204793839
144	0.1201026391
145	0.1198016271
146	0.119574121
147	0.1192470262
148	0.1189911397
149	0.1186392741
150	0.1182756096
151	0.1179344144
152	0.1178096611
153	0.1174991132
154	0.117106019
155	0.1167312794
156	0.1165887987
157	0.1161773953
158	0.1158464749
159	0.1154984265
160	0.1151808342
161	0.114702242
162	0.1143416507
163	0.1142028392
164	0.1139267355
165	0.1137422587
166	0.1134628801
167	0.1132289099
168	0.1128837723
169	0.1126508721
170	0.1123159877
171	0.1120757958
172	0.1118367786
173	0.1116104481
174	0.1113066444
175	0.1110335119
176	0.1106488562
177	0.1101878566
178	0.1098311472
179	0.1094288451
180	0.1092013987
181	0.1088323832
182	0.1084947573
183	0.1082240659
184	0.1080380304
185	0.1077632705
186	0.1076357078
187	0.1071300306
188	0.1068417985
189	0.1065068899
190	0.1062624554
191	0.105877213
192	0.1056587649
193	0.1053388739
194	0.1050797418
195	0.1049148241
196	0.104492724
197	0.1042485456
198	0.1038885731
199	0.1036149132
200	0.1031878101
201	0.102996062
202	0.1028325938
203	0.1025456142
204	0.102333208
205	0.1021755608
206	0.1020368549
207	0.1018479254
208	0.101417578
209	0.101053552
210	0.1007254719
211	0.1004443673
212	0.1003436868
213	0.100137339
214	0.09972522931
215	0.09960624807
216	0.0993816361
217	0.09922887109
